id,assessment,farm_name,farm_type,crop_type,stage,process,input,material,value,unit,gwp_hectarefarm,gwp_mt_seaweed,total_gwp_farm,stage_total,process_total,gwp_kl,percent_total,emission_factor,reference
13,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,electricity for lamps,electricity,960,kWh,457,31.66,175.29,69.29,69.29,,0.18064,0.48,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
14,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,electricity for pumping,electricity,0.62,kWh,0.3,0.02,175.29,69.29,69.29,,0.000117,0.48,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
15,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,electricity for aeration,electricity,8.05,kWh,4,0.27,175.29,69.29,69.29,,0.001515,0.5,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
16,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,electricity for water treatment,electricity,3.02,kWh,1,0.1,175.29,69.29,69.29,,0.000568,0.33,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
17,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,nutrient medium,ammonium nitrate,0.25,kg,0.8,0.049,175.29,69.29,69.29,,0.000278,3.2,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
18,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,nutrient medium,sodium phosphate,0.38,kg,0.02,0.001,175.29,69.29,69.29,,0.000007,0.05,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
19,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,seed string,polyamide,50.4,kg,536,37.13,175.29,69.29,69.29,,0.21182,10.63,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
20,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Ocean Cultivation and Harvest,seeding,long-line,polyamide,111,kg,1181,81.81,175.29,106,81.81,,0.466712,10.64,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
21,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Ocean Cultivation and Harvest,ocean deployment,anchor,concrete,952,kg,120,8.31,175.29,106,22.02,,0.047407,0.13,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
22,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Ocean Cultivation and Harvest,ocean deployment,chains,steel,38.4,kg,96,6.63,175.29,106,22.02,,0.037823,2.5,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
23,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Ocean Cultivation and Harvest,ocean deployment,buoys,polyethylene,52.5,kg,100,6.93,175.29,106,22.02,,0.039534,1.9,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
24,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Ocean Cultivation and Harvest,ocean deployment,fuel,diesel,0.072,kg,0.271149289,0.15,175.29,106,22.02,,0.000856,3.77,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
25,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Ocean Cultivation and Harvest,monitoring,fuel,diesel,1.02,kg,3.84128159,0.21,175.29,106,0.42,,0.001198,3.77,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
26,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Ocean Cultivation and Harvest,monitoring,monitoring vessel,aluminum,0.36,kg,3,0.21,175.29,106,0.42,,0.001198,8.33,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
27,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Ocean Cultivation and Harvest,harvest,fuel,diesel,8.35,kg,31.44585441,1.75,175.29,106,1.75,,0.009983,3.77,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
28,seaweed cultivation and harvest,Farm 3,net,Saccharina latissima,Propagule Production,nursery,electricity,electricity,0.59,kWh,0.346,0.02,192,12.03,12.03,,0.0001,0.59,"Fry, J. M., Joyce, J., & Aumônier, S. (2011). Marine Estate Research Report ( No. 9781906410308) (pp. 1–34). Environmental Resources Management Limited (ERM)."
29,seaweed cultivation and harvest,Farm 3,net,Saccharina latissima,Propagule Production,nursery,nutrient medium,,16300,kg,6.28,0.31,192,12.03,12.03,,0.0016,0,"Fry, J. M., Joyce, J., & Aumônier, S. (2011). Marine Estate Research Report ( No. 9781906410308) (pp. 1–34). Environmental Resources Management Limited (ERM)."
30,seaweed cultivation and harvest,Farm 3,net,Saccharina latissima,Propagule Production,nursery,lab consumables,,300,?,234,11.7,192,12.03,12.03,,0.0609,,"Fry, J. M., Joyce, J., & Aumônier, S. (2011). Marine Estate Research Report ( No. 9781906410308) (pp. 1–34). Environmental Resources Management Limited (ERM)."
31,seaweed cultivation and harvest,Farm 3,net,Saccharina latissima,Ocean Cultivation and Harvest,seeding,kuralon net,polyvinyl alcohol,613,kg,2780,139.05,192,179.97,139.05,,0.7242,4.54,"Fry, J. M., Joyce, J., & Aumônier, S. (2011). Marine Estate Research Report ( No. 9781906410308) (pp. 1–34). Environmental Resources Management Limited (ERM)."
32,seaweed cultivation and harvest,Farm 3,net,Saccharina latissima,Ocean Cultivation and Harvest,ocean deployment,fuel,,0.00165,l,6,0.3,192,179.97,0.3,,0.0016,,"Fry, J. M., Joyce, J., & Aumônier, S. (2011). Marine Estate Research Report ( No. 9781906410308) (pp. 1–34). Environmental Resources Management Limited (ERM)."
33,seaweed cultivation and harvest,Farm 3,net,Saccharina latissima,Ocean Cultivation and Harvest,harvest,fuel,,10.06,l,812,40.62,192,179.97,40.62,,0.2116,,"Fry, J. M., Joyce, J., & Aumônier, S. (2011). Marine Estate Research Report ( No. 9781906410308) (pp. 1–34). Environmental Resources Management Limited (ERM)."
34,seaweed cultivation and harvest,Farm 4,double layer long-line,Saccharina latissima,Propagule Production,nursery,seed string,polypropylene,25.2,kg,58,3.63,261.62,3.63,3.63,,0.0139,2.3,"van Oirschot, R., Thomas, J.-B. E., Gröndahl, F., Fortuin, K. P. J., Brandenburg, W., & Potting, J. (2017). Explorative environmental life cycle assessment for system design of seaweed cultivation and drying. Algal Research, 27, 43–54."
35,seaweed cultivation and harvest,Farm 4,double layer long-line,Saccharina latissima,Ocean Cultivation and Harvest,seeding,long-line,polypropylene,720,kg,1658,103.63,261.62,257.99,103.63,,0.3961,2.3,"van Oirschot, R., Thomas, J.-B. E., Gröndahl, F., Fortuin, K. P. J., Brandenburg, W., & Potting, J. (2017). Explorative environmental life cycle assessment for system design of seaweed cultivation and drying. Algal Research, 27, 43–54."
36,seaweed cultivation and harvest,Farm 4,double layer long-line,Saccharina latissima,Ocean Cultivation and Harvest,ocean deployment,chains,chromium steel,144,kg,611,38.19,261.62,257.99,151.74,,0.146,4.24,"van Oirschot, R., Thomas, J.-B. E., Gröndahl, F., Fortuin, K. P. J., Brandenburg, W., & Potting, J. (2017). Explorative environmental life cycle assessment for system design of seaweed cultivation and drying. Algal Research, 27, 43–54."
37,seaweed cultivation and harvest,Farm 4,double layer long-line,Saccharina latissima,Ocean Cultivation and Harvest,ocean deployment,anchor,concrete,6099,kg,769,48.06,261.62,257.99,151.74,,0.1837,0.13,"van Oirschot, R., Thomas, J.-B. E., Gröndahl, F., Fortuin, K. P. J., Brandenburg, W., & Potting, J. (2017). Explorative environmental life cycle assessment for system design of seaweed cultivation and drying. Algal Research, 27, 43–54."
38,seaweed cultivation and harvest,Farm 4,double layer long-line,Saccharina latissima,Ocean Cultivation and Harvest,ocean deployment,buoys,polyvinyl chloride,33,kg,94.8,5.93,261.62,257.99,151.74,,0.0227,2.87,"van Oirschot, R., Thomas, J.-B. E., Gröndahl, F., Fortuin, K. P. J., Brandenburg, W., & Potting, J. (2017). Explorative environmental life cycle assessment for system design of seaweed cultivation and drying. Algal Research, 27, 43–54."
39,seaweed cultivation and harvest,Farm 4,double layer long-line,Saccharina latissima,Ocean Cultivation and Harvest,ocean deployment,strip rods,polyvinyl chloride,324,kg,932,58.25,261.62,257.99,151.74,,0.2227,2.88,"van Oirschot, R., Thomas, J.-B. E., Gröndahl, F., Fortuin, K. P. J., Brandenburg, W., & Potting, J. (2017). Explorative environmental life cycle assessment for system design of seaweed cultivation and drying. Algal Research, 27, 43–54."
40,seaweed cultivation and harvest,Farm 4,double layer long-line,Saccharina latissima,Ocean Cultivation and Harvest,ocean deployment,fuel,diesel,246,tkm,21.03,1.31,261.62,257.99,1.31,,0.005,0.09,"van Oirschot, R., Thomas, J.-B. E., Gröndahl, F., Fortuin, K. P. J., Brandenburg, W., & Potting, J. (2017). Explorative environmental life cycle assessment for system design of seaweed cultivation and drying. Algal Research, 27, 43–54."
41,seaweed cultivation and harvest,Farm 4,double layer long-line,Saccharina latissima,Ocean Cultivation and Harvest,monitoring,fuel,diesel,246,tkm,21.03,1.31,261.62,257.99,1.31,,0.005,0.09,"van Oirschot, R., Thomas, J.-B. E., Gröndahl, F., Fortuin, K. P. J., Brandenburg, W., & Potting, J. (2017). Explorative environmental life cycle assessment for system design of seaweed cultivation and drying. Algal Research, 27, 43–54."
42,seaweed cultivation and harvest,Farm 4,double layer long-line,Saccharina latissima,Ocean Cultivation and Harvest,harvest,fuel,diesel,246,tkm,21.03,1.31,261.62,257.99,1.31,,0.005,0.09,"van Oirschot, R., Thomas, J.-B. E., Gröndahl, F., Fortuin, K. P. J., Brandenburg, W., & Potting, J. (2017). Explorative environmental life cycle assessment for system design of seaweed cultivation and drying. Algal Research, 27, 43–54."
43,seaweed cultivation and harvest,Farm 5,long-line,Saccharina latissima,Propagule Production,nursery,harvest fertile material,diesel,,,,3.7,287.18,287.18,19.78,,0.0129,,"Seghetta, M., Hou, X., Bastianoni, S., Bjerre, A.-B., & Thomsen, M. (2016). Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers – A step towards a regenerative bioeconomy. Journal of Cleaner Production, 137, 1158–1169."
44,seaweed cultivation and harvest,Farm 5,long-line,Saccharina latissima,Propagule Production,nursery,electricity,electricity,,,,3.39,287.18,287.18,19.78,,0.0118,,"Seghetta, M., Hou, X., Bastianoni, S., Bjerre, A.-B., & Thomsen, M. (2016). Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers – A step towards a regenerative bioeconomy. Journal of Cleaner Production, 137, 1158–1169."
45,seaweed cultivation and harvest,Farm 5,long-line,Saccharina latissima,Propagule Production,nursery,lab consumables,,,,,3.29,287.18,287.18,19.78,,0.0115,,"Seghetta, M., Hou, X., Bastianoni, S., Bjerre, A.-B., & Thomsen, M. (2016). Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers – A step towards a regenerative bioeconomy. Journal of Cleaner Production, 137, 1158–1169."
46,seaweed cultivation and harvest,Farm 5,long-line,Saccharina latissima,Propagule Production,nursery,seed string,polyvinyl alcohol,,,,9.4,287.18,287.18,19.78,,0.0327,,"Seghetta, M., Hou, X., Bastianoni, S., Bjerre, A.-B., & Thomsen, M. (2016). Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers – A step towards a regenerative bioeconomy. Journal of Cleaner Production, 137, 1158–1169."
47,seaweed cultivation and harvest,Farm 5,long-line,Saccharina latissima,Propagule Production,seeding,long-line,nylon,,,,45.39,287.18,287.18,45.39,,0.1581,,"Seghetta, M., Hou, X., Bastianoni, S., Bjerre, A.-B., & Thomsen, M. (2016). Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers – A step towards a regenerative bioeconomy. Journal of Cleaner Production, 137, 1158–1169."
48,seaweed cultivation and harvest,Farm 5,long-line,Saccharina latissima,Propagule Production,ocean deployment,support lines,polypropylene,,,,75.15,287.18,287.18,220.49,,0.2617,,"Seghetta, M., Hou, X., Bastianoni, S., Bjerre, A.-B., & Thomsen, M. (2016). Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers – A step towards a regenerative bioeconomy. Journal of Cleaner Production, 137, 1158–1169."
49,seaweed cultivation and harvest,Farm 5,long-line,Saccharina latissima,Propagule Production,ocean deployment,anchor,concrete,,,,17.38,287.18,287.18,220.49,,0.0605,,"Seghetta, M., Hou, X., Bastianoni, S., Bjerre, A.-B., & Thomsen, M. (2016). Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers – A step towards a regenerative bioeconomy. Journal of Cleaner Production, 137, 1158–1169."
50,seaweed cultivation and harvest,Farm 5,long-line,Saccharina latissima,Propagule Production,ocean deployment,buoys,polyethylene,,,,24.92,287.18,287.18,220.49,,0.0868,,"Seghetta, M., Hou, X., Bastianoni, S., Bjerre, A.-B., & Thomsen, M. (2016). Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers – A step towards a regenerative bioeconomy. Journal of Cleaner Production, 137, 1158–1169."
51,seaweed cultivation and harvest,Farm 5,long-line,Saccharina latissima,Propagule Production,ocean deployment,other support infrastructure,,,,,102.86,287.18,287.18,220.49,,0.3582,,"Seghetta, M., Hou, X., Bastianoni, S., Bjerre, A.-B., & Thomsen, M. (2016). Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers – A step towards a regenerative bioeconomy. Journal of Cleaner Production, 137, 1158–1169."
52,seaweed cultivation and harvest,Farm 5,long-line,Saccharina latissima,Propagule Production,ocean deployment,fuel,diesel,,,,0.18,287.18,287.18,220.49,,0.0006,,"Seghetta, M., Hou, X., Bastianoni, S., Bjerre, A.-B., & Thomsen, M. (2016). Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers – A step towards a regenerative bioeconomy. Journal of Cleaner Production, 137, 1158–1169."
53,seaweed cultivation and harvest,Farm 5,long-line,Saccharina latissima,Propagule Production,monitoring,fuel,diesel,,,,0.18,287.18,287.18,0.18,,0.0006,,"Seghetta, M., Hou, X., Bastianoni, S., Bjerre, A.-B., & Thomsen, M. (2016). Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers – A step towards a regenerative bioeconomy. Journal of Cleaner Production, 137, 1158–1169."
54,seaweed cultivation and harvest,Farm 5,long-line,Saccharina latissima,Propagule Production,harvest,packaging,polypropylene,,,,1.34,287.18,287.18,1.34,,0.0047,,"Seghetta, M., Hou, X., Bastianoni, S., Bjerre, A.-B., & Thomsen, M. (2016). Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers – A step towards a regenerative bioeconomy. Journal of Cleaner Production, 137, 1158–1169."
55,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,Propagule Production,nursery,,polyvinyl chloride,1.13,kg/kL bioethanol,,0.68,,,,2.16,,1.912,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
56,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,Ocean Cultivation and Harvest,nursery,,nylon 6,3.84,kg/kL bioethanol,,11.27,,,,35.6,,9.271,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
57,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,Ocean Cultivation and Harvest,nursery,Electricity,Electricity,4.72,kWh/kL bioethanol,,0.75,,,,2.37,,0.502,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
58,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,Ocean Cultivation and Harvest,ocean deployment,,polypropylene,44.4,kg/kL bioethanol,,27.69,,,,87.5,,1.971,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
59,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,Ocean Cultivation and Harvest,ocean deployment,,polystyrene,4.86,kg/kL bioethanol,,5.19,,,,16.4,,3.374,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
60,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,Ocean Cultivation and Harvest,ocean deployment,,polyvinyl chloride,14.2,kg/kL bioethanol,,8.58,,,,27.1,,1.908,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
61,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,Ocean Cultivation and Harvest,ocean deployment,,Cast Iron,118,kg/kL bioethanol,,55.06,,,,174,,1.475,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
62,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,Ocean Cultivation and Harvest,ocean deployment,fuel,Gasoline,15.5,kg/kL bioethanol,,3.32,,,,10.5,,0.677,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
63,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,Ocean Cultivation and Harvest,Harvest,fuel,Gasoline,52.9,kg/kL bioethanol,,11.36,,,,35.9,,0.679,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
64,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,Ocean Cultivation and Harvest,Harvest,electricity,electricity,7.93,kWh/kL bioethanol,,1.26,,,,3.98,,0.502,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
65,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,processing and transport,Electricity for grinding,Electricity,93.8,kWh/kL bioethanol,,16.99,,,,53.7,,0.572,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
66,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,processing and transport,electricity for pumping,Electricity,1.76,kWh/kL bioethanol,,0.32,,,,1.01,,0.574,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
67,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Pretreatment and conditioning,sulfuric acid,sulfuric acid,59.1,kg/kL bioethanol,,2.31,,,,7.31,,0.124,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
68,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Pretreatment and conditioning,ammonia,ammonia,31.3,kg/kL bioethanol,,20.79,,,,65.7,,2.099,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
