assessment,farm_type,stage,process,input,drop_down,input_label,emission_factor,gwp_unit,reference_year,min,max,avg,step_value,unit
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,US Diesel,Fuel for Equipment,3.2,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,US Gasoline,Fuel for Equipment,3,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,US Natural Gas Mix,Fuel for Equipment,0,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,EU-28 Natural Gas Mix,Fuel for Equipment,0,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,US Propane,Fuel for Equipment,1.82,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,EU-28 Propane,Fuel for Equipment,1.79,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,fuel for transport,none,Fuel for Transport,0,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,fuel for transport,US Diesel,Fuel for Transport,3.2,kg CO2/l,2013,0.001,0.08,0.046432353,0.001,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,fuel for transport,US Gasoline,Fuel for Transport,3,kg CO2/l,2013,0.001,0.08,0.046432353,0.001,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,support lines,none,Support Lines,0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,support lines,Polyamide Fibers,Support Lines,2.14,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,support lines,PP Fibers,Support Lines,0.462,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,support lines,PET Fibers,Support Lines,0.934,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,support lines,RPET Fibers,Support Lines,0.196,kg CO2/kg,,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,support lines,Nylon 66,Support Lines,1.608,kg CO2/kg,2015,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,anchors,none,Anchors,0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,anchors,Concrete,Anchors,0.0065,kg CO2/kg,2016,952,6099,2668,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,anchors,Steel,Anchors,0.125,kg CO2/kg,2007,952,6099,2668,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,anchors,Chromium Steel,Anchors,0.21,kg CO2/kg,2015,952,6099,2668,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoys,none,Buoys,0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoys,Polyamide Fibers,Buoys,1.07,kg CO2/kg,2016,33,53,43,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoys,PP Fibers,Buoys,0.231,kg CO2/kg,2016,33,53,43,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoys,PET Fibers,Buoys,0.467,kg CO2/kg,2016,33,53,43,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoys,RPET Fibers,Buoys,0.098,kg CO2/kg,,33,53,43,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoys,PVC,Buoys,0.29,kg CO2/kg,2005,33,53,43,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,chains,none,Chains,0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,chains,Steel,Chains,0.125,kg CO2/kg,2007,38.4,144,91.2,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,chains,Chromium Steel,Chains,0.21,kg CO2/kg,2015,38.4,144,91.2,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy rope,none,Buoy Rope,0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy rope,Polyamide Fibers,Buoy Rope,2.14,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy rope,PP Fibers,Buoy Rope,0.462,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy rope,PET Fibers,Buoy Rope,0.934,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy rope,RPET Fibers,Buoy Rope,0.196,kg CO2/kg,,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy rope,Nylon 66,Buoy Rope,1.608,kg CO2/kg,2015,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy weights,none,Buoy Weights,0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy weights,Steel,Buoy Weights,0.125,kg CO2/kg,2007,10,144,77,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy weights,Chromium Steel,Buoy Weights,0.21,kg CO2/kg,2015,10,144,77,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Monitoring,fuel for Monitoring,none,Fuel for Monitoring Vessel,0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Monitoring,fuel for Monitoring,US Diesel,Fuel for Monitoring Vessel,3.2,kg CO2/l,2013,0.8,1.2,1,0.01,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Monitoring,fuel for Monitoring,US Gasoline,Fuel for Monitoring Vessel,3,kg CO2/l,2013,0.8,1.2,1,0.01,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Harvest,fuel for Harvest vessel,none,Fuel for Harvest Vessel,0,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Harvest,fuel for Harvest vessel,US Diesel,Fuel for Harvest Vessel,3.2,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Harvest,fuel for Harvest vessel,US Gasoline,Fuel for Harvest Vessel,3,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Harvest,fuel for Harvest equipment,none,Fuel for Harvest Equipment,0,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Harvest,fuel for Harvest equipment,US Diesel,Fuel for Harvest Equipment,3.2,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Harvest,fuel for Harvest equipment,US Gasoline,Fuel for Harvest Equipment,3,kg CO2/l,2013,5,10,7.5,0.1,liter
